fc_var,condition,seed_target,affect_var,n,r,p
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.16120839413724147,0.1226544364018198
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGP,148,-0.09653178296015669,0.2431577251160239
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.1478513292765115,0.0729238026848058
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,0.13188037457136614,0.11009256168008053
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,PA_score,93,0.1454328787489447,0.1642427926873594
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score,93,-0.018894959346153387,0.8573347121534043
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.009689838242870109,0.9265520548112417
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGP,148,-0.0031689464410070145,0.9695081988819609
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.004124478302806586,0.9603206470552588
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,-0.0003674705928557384,0.9964633341995542
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,PA_score,93,-0.03643818878584474,0.7287717733570559
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score,93,0.2665553777103574,0.009802810299353155
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.1661018404162981,0.11155582028072612
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGP,148,0.08481803524483453,0.3053843339728999
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.05064661669219918,0.5409937428717124
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,0.0527463903649554,0.5243267024985124
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,PA_score,93,-0.16359995599288896,0.11712868662790457
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score,93,0.24464087047962446,0.01811031767380077
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.29021011972864363,0.004774998846124998
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGP,148,0.011118003927797007,0.8933126941111076
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.09214560192584709,0.26533653538656976
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,0.12001579651036007,0.14624250210722692
