fc_var,condition,seed_target,affect_var,n,r,p,tier
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,130,-0.019814400516474588,0.8229448948996595,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.007793144074833218,0.9298777400767789,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,82,0.012050465849028552,0.9144317819821653,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,82,-0.1117737364219751,0.3174301599112299,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,82,-0.013929917015030935,0.9011487968955457,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,130,-0.03733021583043988,0.6732687057526081,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,130,-0.2187327366476004,0.012412219445815525,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,130,-0.22909522291288753,0.008746023996710072,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,82,0.07332716081801821,0.5126647117524714,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,82,-0.17911792712339808,0.10736902773788845,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,82,-0.04920776473186629,0.660646581054284,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,130,-0.03088214075095806,0.7272446852714697,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,130,-0.07088518788457335,0.422889464830843,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,130,-0.09293917557102649,0.2929310565821976,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,82,-0.08183288801051675,0.46485292908893644,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,82,0.02005332909984342,0.8580784057847208,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,82,0.16772010267761137,0.13202992446922351,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,130,-0.10849673808013811,0.21917070478999315,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,130,-0.10436588144772187,0.2373281482974893,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,130,-0.09203722953939539,0.2976606818435863,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,82,-0.06344954880117529,0.5711826553043969,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,82,0.05772889376664096,0.6064398273368652,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,82,0.035676962177684846,0.7503254706807776,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,130,-0.007539630101270425,0.9321533114308677,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,130,-0.15805548876836056,0.07249267132961723,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,130,-0.14620006829780124,0.09696103875635215,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,82,0.09649181843605607,0.3884832761441639,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score,82,-0.1323764217067319,0.23580300879389438,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score_log,82,-0.18700507377548933,0.09251421967023522,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGP,130,0.07762411719913778,0.38003674351654365,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN,130,-0.09018045364636304,0.3075551782509761,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN_log,130,-0.11216952134006605,0.2038741466505259,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,PA_score,82,0.07957341407473062,0.47731117782965093,sensitivity
