persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
neg_persist_concat_z_L,NA_score,C5SER,95,10,-0.06173477994285163,0.050141887463526984,-1.2312017569693057,0.2182474144615848,-0.010132867996123571,0.8920198466369251,0.44600992331846256,0.014410796719924193,0.19520214353616672,0.029312256299346372,-0.6672876652727666,True,lbfgs,sensitivity
neg_persist_concat_z_L,NA_score_log,C5SER,95,10,-0.4803003881604306,0.3877546730043379,-1.2386707926407308,0.21546743938136015,-0.33509518495796864,0.606823646297993,0.3034118231489965,0.12021962581220519,0.1620633975062168,1.9856235425611534e-10,-172.2431304439851,True,powell,sensitivity
neg_persist_concat_z_L,C5SPGP,C5SER,150,10,0.015383433275219049,0.12741068327583052,0.12073895908646498,0.9038977998224413,-0.16330748822775037,0.34888073842360434,0.17444036921180217,-0.0021565337465669697,0.9343670276034708,0.057774058083489434,-149.0116429185291,True,powell,sensitivity
neg_persist_concat_z_L,C5SPGN,C5SER,150,10,-0.04240367867853322,0.08760380004937446,-0.4840392614776305,0.6283580056942382,-0.08043597456588575,0.5341198830005789,0.26705994150028944,0.005424855021060005,0.7631865111328495,7.224759308264174e-10,-93.72878363733395,True,lbfgs,sensitivity
neg_persist_concat_z_L,C5SPGN_log,C5SER,150,10,-0.01896490966513913,0.0393026176485251,-0.48253553579403435,0.629425560748608,-0.04075157513104283,0.4698541140715081,0.23492705703575406,0.00213667478188692,0.7913353801196692,3.554992930620141e-12,17.44297347265666,True,powell,sensitivity
neg_persist_concat_z_R,PA_score,C5SER,95,10,0.25585273829836225,0.2074310440010414,1.2334351375924124,0.2174134622767382,0.16215771655405056,0.3853143688466836,0.1926571844233418,-0.0012004643857700646,0.8734665560647439,0.3865236513792377,-103.31979265220883,True,lbfgs,sensitivity
neg_persist_concat_z_R,NA_score,C5SER,95,10,0.027616877294320444,0.059542812189442844,0.4638154678763563,0.6427799603178013,0.07975028326409311,0.22655925673376032,0.11327962836688016,0.0012867395063998629,0.5592040117918141,0.029489552006410156,-0.9154428153001106,True,lbfgs,sensitivity
neg_persist_concat_z_R,NA_score_log,C5SER,95,10,-0.23074220203845608,0.5317864827006168,-0.4339000887473826,0.6643609953089277,0.3324407351001662,0.6279032714584425,0.31395163572922125,0.013598141996128098,0.39713621831219925,2.0055898196451922e-10,-172.11318800631895,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGP,C5SER,150,10,-0.1275120272346657,0.18555821158944819,-0.6871807296612074,0.4919688462465829,0.026084045974078086,0.8962404883632044,0.4481202441816022,-0.0003459689368018968,0.9594279997235662,0.05877703841043952,-148.7607436864849,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGN,C5SER,150,10,-0.025847659113875703,0.12621793998942155,-0.2047859370549228,0.8377393747725378,0.11261879248694676,0.41623347187503523,0.20811673593751762,-0.0033494264662736702,0.46146762873981184,1.733883895092373e-11,-92.91925188619979,True,powell,sensitivity
neg_persist_concat_z_R,C5SPGN_log,C5SER,150,10,-0.012325985484363358,0.05712987343326156,-0.21575376845114888,0.8291796869422179,0.043355383976960614,0.4869078116678499,0.24345390583392496,-0.0018025868687424735,0.3811555759146287,3.5474773464584252e-12,18.07245861189,True,powell,sensitivity
neg_persist_concat_z_bilateral,PA_score,C5SER,95,10,0.35502026169803735,0.19603260169445777,1.811026628373695,0.0701367298218611,0.12082667651368094,0.5626547978978911,0.28132739894894554,-0.05233949668806899,0.062086204111001464,0.3772524191325285,-102.28616958201354,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,NA_score,C5SER,95,10,-0.05774785019345945,0.061322353676192744,-0.9417096169920656,0.3463413299958491,0.03516953567918312,0.6202777715095853,0.31013888575479265,0.008976344403326246,0.3066718288816259,0.03005487086880933,-0.34458614716407965,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,NA_score_log,C5SER,95,10,-0.9242271029477575,0.5416653069240477,-1.7062697040653418,0.08795787603460559,-0.24588202586906246,0.7339568245619903,0.36697841228099515,0.1436914559548214,0.06160014607747184,1.943857532322517e-10,-170.7845701798993,True,powell,sensitivity
neg_persist_concat_z_bilateral,C5SPGP,C5SER,150,10,-0.08722480997949329,0.17189247445986375,-0.5074382124847471,0.6118473794920662,-0.12161059426232172,0.5600390537253288,0.2800195268626644,0.012522883924802657,0.6089009268363258,0.05794421520248819,-148.9284948624324,True,powell,sensitivity
neg_persist_concat_z_bilateral,C5SPGN,C5SER,150,10,-0.038031498506997136,0.11767182036843238,-0.32319971245383894,0.7465439986595662,0.025983709594818213,0.8582502834015615,0.42912514170078075,0.0019611877090170795,0.9067277990606436,1.7670691564535155e-11,-93.38001667095881,True,powell,sensitivity
neg_persist_concat_z_bilateral,C5SPGN_log,C5SER,150,10,-0.015846017050435722,0.05313384422068076,-0.2982283191222241,0.7655289091139155,0.006176752148953564,0.9247449279129472,0.4623724639564736,0.00042750030640147904,0.9548904892742855,5.717442436606147e-12,17.702715003331434,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,PA_score,C5SES,94,10,0.3532950927465594,0.466509092391875,0.7573166279249837,0.44886019133517585,-0.6880200200227298,0.311013596729511,0.1555067983647555,-0.013682623499484594,0.3438000438968549,0.36574252669970964,-97.51446264561119,True,lbfgs,primary
