fc_var,condition,seed_target,affect_var,n,r,p
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGP,130,0.15572367495074851,0.0768631480538202
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN,130,-0.17002532439060736,0.05311686512944939
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.15062134799408863,0.08716716991075509
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,PA_score,82,-0.19371649202289953,0.08119281156161885
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score,82,0.3364730757587966,0.00199638853934004
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score_log,82,0.20444543915517077,0.06541328271165964
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGP,130,0.1573651268667305,0.07376512906983536
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN,130,0.008834657290058882,0.9205351368828952
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN_log,130,0.02674608947035781,0.7626054869324005
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,PA_score,82,-0.025317025968008604,0.8213786959564087
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score,82,-0.05592626354360812,0.6177441650165726
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score_log,82,-0.08523500285027842,0.4464339088052872
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGP,130,-0.029582044418418628,0.7383020216140056
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN,130,-0.077886119545131,0.3784257942367456
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.08127078108904719,0.3579901365650709
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,PA_score,82,0.12945557272361397,0.24639147456955812
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score,82,-0.03183200357376847,0.776488710858259
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score_log,82,-0.15494441039909573,0.1645436461125759
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGP,130,0.07358955963907342,0.4053664163827487
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN,130,-0.06104644611340994,0.4902205939574448
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN_log,130,-0.08825028396891205,0.3180662713669742
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,PA_score,82,0.06790508620906291,0.5444038559712083
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score,82,0.05111821510382017,0.6483272942263706
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.07708240747675724,0.49125115730464325
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGP,130,-0.08609129978370639,0.3300957247235779
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.08812991057048811,0.31872940187023563
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.071718163902803,0.41744600721380526
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,PA_score,82,0.15686708711361258,0.15930450322469328
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score,82,-0.1356883219817342,0.22418401309942568
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.003224557092533751,0.9770628587097115
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGP,130,-0.06873324988784148,0.4371409305988418
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.022175001258671143,0.802260406989592
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.02217933531496359,0.802222551278519
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,PA_score,82,0.08588041302127994,0.44298626013637266
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score,82,0.012901825531693507,0.9084116863176411
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.07717497356602561,0.4907293374041476
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGP,130,0.08864497048620673,0.31589823598870004
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.006414747511745478,0.9422567492919597
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.011193289703436485,0.899419668770095
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,PA_score,82,-0.10027464172024245,0.3700671690336789
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score,82,0.16863330923773573,0.12990793321968847
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.2733136362620673,0.012974631241617176
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGP,130,0.006519194449522141,0.9413182191580327
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.07749675823396611,0.3808213259076371
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.11411030801626215,0.19610834294308693
