persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,group_var,log_likelihood,converged,optimizer
neg_persist_concat_z_L,C5SPGN,84,7,-0.006898284631646741,0.11624607836741632,-0.05934208472687991,0.9526796413923188,0.058664213852255225,-37.69159654070461,True,lbfgs
neg_persist_concat_z_L,C5SPGN_log,84,7,-0.010387848566270192,0.058337167971013154,-0.1780656985514236,0.8586713800742508,0.009959830669021974,17.773133998886138,True,powell
neg_persist_concat_z_R,PA_score,84,7,-0.11374905386906728,0.21609599696006512,-0.5263820499649898,0.5986227848327497,0.3601913274686435,-89.02729115235391,True,lbfgs
neg_persist_concat_z_R,NA_score,84,7,0.08867122533632255,0.05687037233036057,1.5591813751672048,0.11895345773741128,0.015502317442626264,18.555471638421196,True,lbfgs
neg_persist_concat_z_R,NA_score_log,84,7,0.68698805037711,0.5666979739473669,1.2122648782240313,0.22541100362711042,2.08904688776842e-10,-153.2386467046009,True,powell
neg_persist_concat_z_R,C5SPGP,84,7,0.031141419069513836,0.23755917781870597,0.131089101062976,0.895704822852277,0.27859016523208424,-88.00327289451715,True,lbfgs
neg_persist_concat_z_R,C5SPGN,84,7,0.1098283071764572,0.11841763015726459,0.9274658429711832,0.3536847183553815,0.06102419354590334,-37.23949485525324,True,lbfgs
neg_persist_concat_z_R,C5SPGN_log,84,7,0.043104726001113106,0.05956743026746071,0.7236291007950276,0.46929347065581084,0.010179840670971706,18.04347435208868,True,powell
neg_persist_concat_z_bilateral,PA_score,84,7,-0.2582450027732854,0.20966987338926713,-1.231674339278276,0.21807075909561568,0.3583713527443813,-88.3936571294845,True,lbfgs
neg_persist_concat_z_bilateral,NA_score,84,7,0.10739575704437737,0.06361627365788138,1.688180568732073,0.09137657207931321,0.014016054687714913,18.902929586164163,True,lbfgs
neg_persist_concat_z_bilateral,NA_score_log,84,7,0.7253561608002425,0.6586160774962031,1.1013338203916287,0.27075139683763016,2.0597914853132147e-10,-153.21615726404787,True,powell
neg_persist_concat_z_bilateral,C5SPGP,84,7,-0.2517147866852966,0.23183506929474137,-1.0857493969787693,0.2775898798166223,0.293002858499401,-87.3668532283487,True,lbfgs
neg_persist_concat_z_bilateral,C5SPGN,84,7,0.0957318354079794,0.13198395714222252,0.725329331540054,0.4682500154737145,0.05885295059861844,-37.29967090924919,True,lbfgs
