fc_var,condition,seed_target,affect_var,n,r,p,tier
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN,148,0.0438574049357904,0.5966117756823774,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN_log,148,0.05802148439245263,0.48363553575869617,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,PA_score,93,0.02826494736211252,0.7879724081284635,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score,93,-0.05147526917395352,0.6241191914770393,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score_log,93,-0.08788918240753754,0.4021811419470408,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGP,148,-0.06799777190614258,0.41155196643273556,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN,148,-0.04865756297639179,0.5570198690818358,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN_log,148,-0.049339377520335806,0.5515006787601834,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,PA_score,93,0.10566625128418565,0.3134294640775088,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score,93,0.08450735450318707,0.42060077103943727,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score_log,93,-0.08376624538719471,0.4247014279283929,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGP,148,0.08661752672707969,0.29520022111661876,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN,148,-0.06330676764035639,0.44463063506206474,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN_log,148,-0.08853303704145313,0.28460970918003753,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,PA_score,93,-0.020217420789066576,0.8474661158761195,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score,93,0.28120447388720604,0.0063240101491283274,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.1612083941372415,0.1226544364018198,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGP,148,-0.09653178296015669,0.2431577251160239,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.1478513292765115,0.0729238026848058,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,0.13188037457136614,0.11009256168008053,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,PA_score,93,0.1454328787489447,0.1642427926873594,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score,93,-0.01889495934615337,0.8573347121534043,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.009689838242870117,0.9265520548112417,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGP,148,-0.0031689464410070145,0.9695081988819609,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.004124478302806586,0.9603206470552588,sensitivity
