fc_var,condition,seed_target,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,10,0.0006481883422615033,0.02615040344500254,0.024786934688205545,0.9802249124664129,-0.07184439020602337,0.23152467613405603,-0.0017112388889380143,0.9122672923186494,3.435416897643529e-12,15.509131442649164,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,C5SER,82,9,-0.1164042811896229,0.1359358347944191,-0.8563178455899101,0.39182199292714204,-0.00815312517847236,0.967227525938031,0.05056861858517331,0.4261376156647496,0.39249784494435774,-91.0776929076489,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,C5SER,82,9,-0.06130697794887896,0.03805638857589592,-1.6109510188181506,0.10719039871846503,-0.0868334629598357,0.16938223202655622,0.029512387110212018,0.09858896619939814,0.017769342786501274,9.712024594189188,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,9,-0.7015434385532736,0.33221092641438926,-2.1117410138346586,0.03470866911868442,-0.44556577322337443,0.4419687436452868,0.34129988521422006,0.028597163725806906,1.981844451362434e-10,-150.7012406293377,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,10,-0.17119971900564745,0.11795851977615537,-1.4513552673475856,0.14668095904737588,0.060218862839848335,0.7468405499223751,0.07477621514575397,0.1562117251312114,0.032444931582145155,-127.82772245970739,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,10,-0.07324243248170427,0.08086128242698734,-0.9057787643652274,0.36505296309032875,-0.06912168817661742,0.5899220993815515,0.029389411292514843,0.4157195088850242,3.8491199576120935e-10,-82.27577364556794,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,10,-0.030970878740263726,0.03571863029241818,-0.8670791261230911,0.3858986568245135,-0.023278999275838395,0.6748115148484051,0.012019859925721795,0.4511404573769603,2.0073475994277592e-11,15.315865353426545,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,C5SER,82,9,-0.030061965060625605,0.08561346488220946,-0.3511359469212711,0.7254863610462787,-0.06157203542409825,0.8012989005529632,0.019383322406932302,0.7618668422221127,0.39708559136831556,-91.71405907711659,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,C5SER,82,9,-0.04279116264731687,0.022713663637417447,-1.883939259223011,0.05957319204141043,-0.07600384299252214,0.21105596469138554,0.03270331740794104,0.053953185159749714,0.015768392593681957,9.773310838808072,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,C5SER,82,9,-0.22699257040512322,0.20590449491535343,-1.1024167806459932,0.27028051950697374,-0.06042660675057735,0.9122300945209277,0.18198281936790928,0.2365345783392282,2.115242856972408e-10,-152.715394335238,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,C5SER,130,10,-0.18539619394362486,0.06891222732315756,-2.690323635517198,0.007138275497113655,-0.193827980899979,0.2987257561002331,0.14129599089857384,0.007389313077013562,0.07862170294867177,-125.92501664569033,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,C5SER,130,10,0.02610024573111436,0.04592232492857666,0.5683563663579375,0.5697930122218888,-0.2597689181715873,0.042401311629385596,-0.02099523486774583,0.549901041746804,1.695953828811244e-11,-80.70762573600263,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,C5SER,130,10,0.015325199220908952,0.020288648506274907,0.7553583086704444,0.4500340214189036,-0.11673499566394822,0.03815382070667137,-0.012444347591151459,0.4224921132304652,3.3636384250128507e-12,17.19699757429285,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,C5SER,82,9,-0.01127378715281134,0.19126904710761763,-0.058942036483656125,0.9529982759621229,0.15240672707721376,0.6396448784664557,-0.0010335118437574155,0.9809784411984124,0.4017051870684104,-90.72217341275262,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,C5SER,82,9,-0.06731377624586597,0.045667785550853844,-1.4739881830028305,0.14048477287470384,-0.15399164273360558,0.04813151523681198,0.015839767560692625,0.12506092998630466,0.012472371293192262,10.61169472189701,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,C5SER,82,9,0.10756029142333028,0.42319180015447094,0.25416440343142105,0.7993685497131402,0.04008007222403511,0.9555263629477285,-0.009197170403226934,0.9234236843198912,2.249046295755696e-10,-152.54254618980502,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,C5SER,130,10,-0.484046866702868,0.1417894012055032,-3.4138437893627334,0.0006405328957457268,-0.3827522460439184,0.06759840973838051,0.10448197131253589,0.0008603122561678247,0.09216344819863682,-123.43639644038876,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,C5SER,130,10,0.1004102914836349,0.10001324878780184,1.003969900994572,0.31539312169923406,-0.025764625486814106,0.8612796109075309,-0.024644266455630538,0.26415126770240627,9.368690831842724e-10,-81.6020241692546,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,C5SER,130,10,0.037854784961959015,0.04421886189919486,0.8560777762271686,0.39195476038941535,-0.031205010845127737,0.6312528937675829,-0.009767290390387349,0.31662842044549,1.8922621489398767e-10,16.151305170888378,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,C5SER,82,9,-0.00466833378790656,0.13799741470691246,-0.03382913946483316,0.9730133993062382,-0.1278535470334939,0.605995391550106,-0.0011330989543142634,0.9792716356086156,0.3916630144039706,-91.24362393042554,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,C5SER,82,9,-0.06350831322942681,0.03695863158809978,-1.7183621389779942,0.0857305816813172,-0.0323209425698428,0.6348572546547004,0.020404071207897757,0.08055064693346918,0.015585300140144285,9.934940606869702,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,C5SER,82,9,-0.25779513720968517,0.3412338267205824,-0.7554794308853191,0.4499613694937401,0.46481266525727055,0.4384286156017769,0.09279716707054124,0.389351709711489,0.13988099038321666,-151.46440219089823,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,C5SER,130,10,-0.45030656698782484,0.10561975617749747,-4.263469101661907,2.0127734416064413e-05,-0.45334865865301915,0.005716855593096445,0.15569971683089323,2.634522564538093e-05,0.11507667911645562,-119.8474772375522,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,C5SER,130,10,0.051181923986272845,0.07430323807764963,0.6888249464012032,0.4909334349245249,-0.08896261826326453,0.5109315455569649,-0.020361819675515255,0.43503723861121535,5.3457452294822355e-11,-82.017113708132,True,False,powell,sensitivity
