fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,130,8,-0.195968657278993,0.13095381914761325,-1.496471493191764,0.13453083115388575,1.7054119292779358e-11,-75.63774153605937,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.07837673658454782,0.057945477663336666,-1.3525945379191937,0.17618519837206303,3.3978282956653596e-12,23.30676274084621,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,82,7,0.06741320124072668,0.16991946375493291,0.3967361934354599,0.6915620073824624,0.3864653750620486,-86.48427135243361,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,82,7,-0.026018655156396033,0.054171144033745657,-0.48030470134040065,0.6310107464032046,0.014197411252166689,16.109119730583316,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,82,7,0.1990235343065996,0.5098832157402026,0.39033160567498804,0.6962913551912271,2.0505843128288007e-10,-149.87913758180008,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,130,8,0.15542196653532162,0.17242838331410182,0.9013711289759024,0.3673910265593774,0.016074332211000016,-123.57781877005908,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,130,8,-0.03890216930273447,0.12104459342561864,-0.32138708720302883,0.7479170674339759,9.32178757762344e-10,-76.8401432634509,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.011785360882415377,0.05180660777493989,-0.22748760030021192,0.8200446100359955,1.0657770738273052e-10,22.286097337680275,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,82,7,-0.04249889085806029,0.20892779153385307,-0.2034142540159579,0.838811259610043,0.3901992508589609,-86.33440496242633,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,82,7,-0.026284889615300934,0.055201437405831916,-0.4761631372396834,0.633958159218933,0.01276459267946644,16.17527052252413,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,82,7,0.25705707977632203,0.49701459287162436,0.5172022782894791,0.6050149617964249,2.0719736979999405e-10,-149.8035199864641,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,130,8,-0.12424583352371514,0.18490561895151728,-0.6719419032706232,0.5016206825445919,0.024048628191477725,-123.67984458436791,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,130,8,-0.27773641864798204,0.12349830557053829,-2.248908738989523,0.024518302898692612,7.12530506469714e-11,-74.25910289865993,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,130,8,-0.12793482126342992,0.054330251110570466,-2.3547621932220184,0.018534562889287454,3.4696851672465602e-12,25.102490939443783,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,82,7,0.15754794419734763,0.2205025806062153,0.7144947862478976,0.47492127897471637,0.3929801111400181,-86.0512948645985,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,82,7,-0.07936952429009876,0.06042035755418806,-1.313622221101822,0.1889733670011029,0.012634123901196717,17.018555449659914,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,82,7,-0.041349173139996864,0.5515799251030781,-0.0749649710914871,0.9402425824599028,2.0753067963024643e-10,-149.83846601640238,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,130,8,-0.03784020858157976,0.18839950556225224,-0.20085089113504248,0.8408151682996317,0.03450087555390573,-123.85648785727352,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,130,8,-0.10431334640638183,0.12697732498367145,-0.8215116078386115,0.4113549149542033,2.5752124865700806e-10,-76.45742569597718,True,False,powell,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,130,8,-0.0616810967703892,0.056154189491197264,-1.0984237744195087,0.272019485676684,3.455440320241934e-12,22.962640369065923,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,82,7,-0.1287355487771935,0.18377858240462366,-0.7004926640132505,0.48361968495327745,0.3840013170730284,-86.24115004205072,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,82,7,0.037045699512895776,0.055581722450575986,0.6665086629122966,0.5050860283787288,0.015127944047208556,16.216370673405564,True,False,lbfgs,sensitivity
