fc_var,condition,seed_target,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN_log,130,-0.09160095148248143,0.05940908055930709,-1.5418678528619498,0.12686470177549178,0.27803560006672534,-0.10873104275467194,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,PA_score,82,0.29995733148656356,0.3704315200549093,0.8097511017477689,0.42170398201895054,0.35363086529621923,0.01215283186780669,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score,82,-0.12945572282137208,0.09285308802221541,-1.3941994345993034,0.16907496509830214,0.3450541919671283,-0.0009549141634455083,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score_log,82,-0.18002100824134387,0.8435062456606539,-0.21341988772157483,0.8318183289106664,0.3601882547676116,0.022174502569368593,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGP,130,0.08106636165366199,0.2617686115165292,0.3096870980214643,0.7575658630812501,0.37510526612518813,0.04034023012082455,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN,130,-0.0721214737246913,0.19918452415094698,-0.3620837212736259,0.7181987874979388,0.20237994631416445,-0.2249165110175333,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.0351073651190347,0.08573470330753095,-0.4094883841039765,0.6832236171283137,0.2590816832548193,-0.13783884357295606,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,PA_score,82,-0.02891320407466702,0.32396611453823265,-0.08924761812166268,0.9292215270172873,0.34573254693091204,8.181700762022182e-05,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score,82,0.05104302411494521,0.08188148410075134,0.6233768803230185,0.5357104918253774,0.32597582363891564,-0.030112420476374302,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score_log,82,0.33404856286765783,0.7321125018447034,0.4562803695141879,0.6500527030506071,0.36214399435267985,0.025163463067303105,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGP,130,0.16870603022607872,0.2505852010745969,0.6732481786737936,0.5026375582670313,0.37774945660780035,0.04440095121912191,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN,130,0.023701406864950286,0.19121113065642004,0.12395411702019815,0.9016477353844925,0.20128114082899717,-0.2266039622983258,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN_log,130,0.02404737894207474,0.08228632385548461,0.29224028751494546,0.7708234994885048,0.25835670540655253,-0.13895220241136585,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,PA_score,82,-0.44335310613526746,0.3347929012109398,-1.3242607729484925,0.19109908937074305,0.36659244029338955,0.031962031391783996,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score,82,-0.04820359453472119,0.08606035507299734,-0.5601138235350572,0.577761725780012,0.3250292564416931,-0.031559060909865266,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score_log,82,0.059391965355310106,0.7704021399364654,0.07709216041405093,0.9388405273215072,0.3597102018375794,0.02144389337441377,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGP,130,0.02061011159938364,0.22735396640346212,0.09065208725151053,0.9279848610879786,0.3744529971338234,0.0393385313126573,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN,130,-0.2392090976288091,0.17106282223045505,-1.3983698766909605,0.16568307775909924,0.2193087778691204,-0.1989186625581365,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.09090500763866216,0.07383538286233692,-1.2311848887971621,0.22168973837770123,0.27076207554664167,-0.1199010982676576,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,PA_score,82,-0.4217604514809269,0.30181991340347014,-1.397391069147652,0.1681186516372345,0.36888660235631276,0.03546820360115721,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score,82,0.14440123162181762,0.07538940450223577,1.9154048579536824,0.06084329001330135,0.36499058254741945,0.029513909176244746,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score_log,82,0.7081600220887411,0.6889944857752084,1.027816675908471,0.3087041410803374,0.37215278479724867,0.04045991638824786,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGP,130,0.2839455573226696,0.22888821655762132,1.2405424866036643,0.2182286130815952,0.3856472223807882,0.05652966294192463,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN,130,-0.006715614492566968,0.17578866070462743,-0.03820277409048027,0.9696166564687756,0.20114892500164894,-0.2268070080331821,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN_log,130,0.010375516737711893,0.07567309202491494,0.13710972368217506,0.8912721700663991,0.2577687729249709,-0.13985509872236612,sensitivity
