fc_var,condition,seed_target,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,C5SER,82,0.28098256916933056,0.2321550300982317,1.2103229856808981,0.23173467893232572,-0.1326493249954639,0.7419826007261295,-0.07618024640204804,0.2163054960027845,0.4094364006931708,0.06204604815974191,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,C5SER,82,-0.08651685019709213,0.06046953089787574,-1.4307511388372853,0.15860055928933964,-0.07180840717336333,0.4945872372583605,0.023175777017621236,0.14981435197457246,0.35385260336434843,-0.026234100538975902,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,-0.9641755724889438,0.5290318166146044,-1.8225285175831651,0.07423997146423078,-0.8181514904710345,0.37448820903960645,0.26475898095919564,0.06185012475372736,0.4145565881936093,0.07017811066043833,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.35240644348055306,0.16273181713245433,-2.165565712289162,0.033249605626450095,-0.29983453551191197,0.2301364817006418,0.09079658796072569,0.03868440962052388,0.4087148061514254,0.0698074389455351,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.026844601140027166,0.12694254303100375,-0.2114704849852487,0.8330448608313428,-0.09692993194738146,0.6176883454891133,0.004449112266763092,0.895311443412848,0.20680567515514903,-0.2478300964022655,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.0075678392972636024,0.054562032260265465,-0.1387015656081939,0.8900260477940878,-0.04550526356517633,0.5856905273574293,0.0005873679351485923,0.9677590950457785,0.2652857908069596,-0.15583089007197826,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,C5SER,82,0.2652111365039169,0.18029612262964734,1.4709752635595859,0.14744134602263972,0.1292006187475867,0.7128283831730149,-0.10657069297555419,0.1335297636125656,0.38373812891237336,0.021231145919651806,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,C5SER,82,-0.09008178699120836,0.04530221743413575,-1.9884630840019475,0.05213968674955588,-0.11975754703280753,0.17813589042885972,0.0355957048084938,0.047936499671883105,0.37254965062557277,0.003461209817086197,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,-0.7214925064718534,0.4009037683597424,-1.7996650653192103,0.07783040995367492,-0.2794907125298982,0.7202813922717985,0.2914263180039691,0.06652435044741045,0.41832062946958615,0.07615629386346046,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.27370662648620414,0.12517169383502322,-2.1866495379294824,0.03161764713502741,-0.31863317500788585,0.16241849419314397,0.11096761336270684,0.0349129985046266,0.4109831945620557,0.07337600120128263,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.04461489758099596,0.09683463398858534,-0.4607328570711081,0.6462098884275331,-0.24308093510625528,0.1682538371503198,0.016268886054418247,0.6854338838307333,0.2228765540427512,-0.22254786010347694,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.014155801239660705,0.04162493642698031,-0.34007982845795404,0.7346660280337767,-0.10472176797467259,0.1673219847495522,0.004641244751517594,0.7880048273293417,0.2800407748055176,-0.132618781098637,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,C5SER,82,0.02833842471401038,0.14506351720956465,0.1953518380026009,0.8458937386148118,0.47523857177688716,0.11915218384326655,-0.024520845536867897,0.7773705428222409,0.38432651762217207,0.022165645635214504,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,C5SER,82,-0.06280168775677111,0.03641669629997633,-1.7245300682811235,0.09066890883489125,-0.12414376400412075,0.10523651601396031,0.03847247138926897,0.08161150609376237,0.37427565571710497,0.006202512021284412,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,-0.8078762862767522,0.31594925843749305,-2.556981112321811,0.013576865688396535,-0.7518875643352139,0.254958401923089,0.49488898362562905,0.01114519884492438,0.44245543890567474,0.11448805002665996,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.11105109636814126,0.10610335737455562,-1.0466313141828267,0.2983450207972741,-0.015167234406710972,0.9480477082706871,0.06386701257721975,0.3143607149623025,0.3831656790200878,0.02961429992184539,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.07624673056504888,0.07918726323343785,-0.9628660904756804,0.3384456292309228,-0.3308982231448751,0.059554775112342834,0.044107201613270496,0.3516349026032799,0.24258465679487096,-0.19154364967636162,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.032597326686086434,0.03419708938053949,-0.9532193317199846,0.34328044320892126,-0.1274430370641072,0.09218146674988123,0.018453456850508438,0.36678607153592735,0.29177073020736066,-0.11416555857622535,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,C5SER,82,0.02264646131136372,0.18625769270554174,0.12158671667411844,0.9037041457547593,0.12346500232640867,0.6845301021638129,-0.016253901350978706,0.8531043982832707,0.3539437115354487,-0.026089399326052032,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,C5SER,82,-0.06986583729161441,0.046405923997913406,-1.5055370364946479,0.13835493490972534,-0.07645547309256649,0.3146125282914425,0.03356196127930789,0.12917598220587612,0.3532496232043285,-0.027191774910772404,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,-1.0984018729746299,0.390986347469946,-2.8093100438988112,0.00702200946710938,-1.156875039053639,0.07402094983044379,0.5300505777218716,0.005628528590123167,0.4565295103332673,0.1368409869998951,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.11684583503244217,0.13349794949707625,-0.8752631442852328,0.3839873211324454,0.042424063416658275,0.8341059311087382,0.04969690805620211,0.408084746595771,0.382969356545508,0.02930545115086014,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.12542655906965444,0.10087514238731819,-1.2433842084511675,0.21726949300668205,-0.16440467540190126,0.28440119732696195,0.0534954534124122,0.23961034623634261,0.22332555141035138,-0.22184151058615464,sensitivity
