fc_var,condition,seed_target,persistence_var,n,r,p
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,0.02784790442222313,0.7386361840052927
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.02192817776191681,0.7913656205535319
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,-0.08125923068049387,0.3261964187194929
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.0523492572779798,0.5274588802765344
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,-0.11794959883497588,0.1533664162203428
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.12058436046763056,0.14432685589282074
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.15887695099810456,0.05376786461659809
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_concat_z_L,146,0.0021069698927898214,0.9798636832974065
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_concat_z_R,146,0.007470368300981384,0.9286923634694468
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,0.016292428752146766,0.8452497046499308
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.06718245153970057,0.41719512527705244
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,-0.04462343448260406,0.5902091701987556
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.09573471722756045,0.2470891176617265
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,-0.05299760570380442,0.522350256042379
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.12947637987175073,0.11678736443076265
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.1034252782743168,0.2109666003554594
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,neg_persist_concat_z_L,146,-0.011839929760392897,0.8872082191564103
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,neg_persist_concat_z_R,146,-0.0006344796740546613,0.9939356968082228
